8,can you watch home and away in the northern territory and what channel?,can you watch home and away in northern territory,I assume so. On network 7
9,Does my parents have a problem with me holding BALLOONS?,"I find it hard to take balloons when I am with my Parents. They always give me the cold shoulder when I take a balloon. 2 days ago, I went to a carnival and a woman there gave me a pretty big balloon spider. I was rather happy to hold the balloon. \\n\\nWhen I saw my mum and she saw me, she stared at me and for that whole day she did not talk to me. This is not the first time it happened. Quite some time ago(about a year), I went to a party and brought some balloons home. I thought of giving it to my sister but then my mum saw the balloons and forced me to burst them. I dun know whats wrong with holding balloons.\\n\\nIs it the balloons or is it my mum. I am really sad about this Pls advice.",Maybe your Mommy thinks a 25 year old should have grown out of kids' stuff like balloons by now.
5,How do i insert current date on web page using notepad?,,"Open the html file in Notepad, click where you want the current date and press F5 to insert date and time there"
2,is there life form on mars im 12 and my project on life on mars and mabey ur apinyon wood help?,,"To date, no signs of Martian life, either present or past, have been found. But we shouldn't give up, as this is not an ultimate answer, it's only what the past measurements and observation told us. Further inquire and more accurate experiments are in preparation by the various space agencies, using robotic probes.\\nFor instance, the European Space Agency is preparing two Martian probes: ExoMars and Mars Sample Return.\\nExoMars foresees a rover equipped with many experiments for studying the biological features of the Martian environment.\\nMars Sample Return will collect soil samples to be returned to Earth for even more accurate laboratory analysis.\\nIn both cases, the idea is that Martian microorganisms or some traces of them (if they exist) may have escaped the previous observations.\\nYou can find more details at the following links."
6,What do you think of Germany VS Argentina if they face (they will!!!) in match 57?,,"well, Argentinians will finally have their long waiting revenge after the finals in Italia '90."
4,do you have to register your homeschool in chicago illinois?,,See hslda.org.  It will give you info on your state.
9,"Girls, would u like to share a secret fantasy?",,no thank you maybe another time
8,how many of you have raided your kids haul from last night?,,"oops, you got me.\\nbut in my own defense, my daughter would never have eaten that clark bar anyway!"
1,why didn't jesus get a haircut? he's a dirty hippie? on dope? or is he a metalhead?,,"How do you know that what Jesus even looked like?  No one really knows, that's just what they assume he looked like."
7,what is in the ball on the end of a flag pole?,,There is nothing in it. It serves as decoration or a stopper for the pole.
5,What is P2P Actually?,What is P2P actually? Is it legal? how Does it work? Is it free or any fees is required.Is Warez any good?,"If any of them Helps\\nDefinitions of P2P on the Web:\\n\\nA sharing and delivery of user specified files among groups of people who are logged on to a file sharing network. Napster was the first mainstream P2P software that enabled large scale file sharing.\\nwww.mp3-cdburner.com/MP3-glossary.shtml\\n\\nPeer-to-peer is a type of Internet network allowing a group of computer users with the same networking program to connect with each other for the purposes of directly accessing files from one another's hard drives.\\nwww.usr.com/education/broadbandglossary.asp\\n\\nProcess whereby computers can trade information between each other directly without the assistance of a third party network.\\nwww.hostqueue.com/ecommerce/glossary.html\\n\\n(Peer to Peer), a term used to describe an end user sending a message to another end user via their wireless devices, where each device has equivalent capabilities and responsibilities.\\nusamobility.com/customercare/faqs/glossary.htm\\n\\nPeer-to-peer networking (P2P) is an application that runs on a personal computer and shares files with other users across the Internet. P2P networks work by connecting individual computers together to share files instead of having to go through a central server.\\nwww.netalert.net.au/01990-Glossary.asp\\n\\nPeer-to-peer exchanges in which products or services are openly shared (for example, Napster).\\nwww.metromemetics.com/thelexicon/p.asp\\n\\nA method of file sharing over a network in which individual computers are linked via the Internet or a private network to share programs/files, often illegally. Users download files directly from other users' computers, rather than from a central server.\\nspyware.remove-spyware.com/definitions2.htm\\n\\nAt Peer to Peer networks several hubs communicate directly for using conjointly resources. PACS Picture Archiving and communication system makes the archiving of the image material possible as well as the image communication between the modalities, the digital archive and the information system based on the DICOM standards.\\nwww.vepro.com/USA/glossar_n-r.asp\\n\\nPeer to Peer. Instead of one single computer, P2P utilizes the computing power of thousands of computers together to do one thing, speeding up the time required to perform the job. Napster was the originator of P2P for sharing music files between millions of computer users worldwide. SETI@home uses P2P with just under 4 million computers and has, since it started in July 1999 (to August 2002) done 1,009,000 hrs of computation time, or the equivalent of 1,248 years work on one computer! ...\\nwww.techdirectcomputers.com/Encyclopedia.htm\\n\\nA programme which will allow the MOD to trade electronically with its suppliers, via the Defence Electronic Commerce Service (DECS).\\nwww.ams.mod.uk/ams/content/docs/ils/ils_web/ils_gide/chaptr14.htm\\n\\nPeer to Peer. Term used by file sharing networks such as Kazaa, Limewire, etc.\\nwww.100best-web-hosting.com/termp.html\\n\\nP2P technically stands for ""peer-to-peer."" A peer-to-peer architecture allows hardware or software to function on a network without the need for central servers. Peer-to-peer is commonly used in configuring home computer networks where the cost of a server can be difficult to justify. The approach has also been popularized by some Net software applications such as Groove and Napster. The P2P acronym has acquired a non-technical meaning as well. ...\\nwww.envisionnetwork.net/library/glossary.html\\n\\nA peer-to-peer (or P2P) computer network is a network that relies on computing power at the edges (ends) of a connection rather than in the network itself. P2P networks are used for sharing content like audio, video, data or anything in digital format. P2P network can also mean grid computing. \\nen.wikipedia.org/wiki/P2P"
